Function,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
calculate_fock_matrix,0.068052,0.068052,0.0,0.068052,0.0,0.0,0.0,0.0,0.0,hw5,"calculate_fock_matrix(std::vector<BasisFunction*, std::allocator<BasisFunction*>> const&, arma::Mat<double> const&, arma::Mat<double> const&, std::vector<Atom, std::allocator<Atom>> const&, arma::Col<double> const&, arma::Mat<double> const&)",[Unknown],0x41ac80
dgemm_otcopy_HASWELL,0.063108,0.063108,0.0,0.063108,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,dgemm_otcopy_HASWELL,[Unknown],0xebccd0
operator new,0.060005,0.060005,0.0,0.060005,0.0,0.0,0.0,0.0,0.0,libstdc++.so.6,operator new(unsigned long),[Unknown],0xb0f40
arma::Col<double>::Col,0.060000,0.060000,0.0,0.060000,0.0,0.0,0.0,0.0,0.0,hw5,arma::Col<double>::Col(arma::Col<double> const&),[Unknown],0x41c4d0
func@0x208570,0.056372,0.056372,0.0,0.056372,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,func@0x208570,[Unknown],0x208570
flt128_ais,0.053990,0.053990,0.010003,0.043987,0.0,0.0,0.0,0.0,0.0,libquadmath.so.0,flt128_ais,[Unknown],0x24fa0
__kernel_standard,0.051988,0.051988,0.0,0.051988,0.0,0.0,0.0,0.0,0.0,libm.so.6,__kernel_standard,[Unknown],0xc6c0
dtrmm_RNUU,0.051747,0.051747,0.0,0.051747,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,dtrmm_RNUU,[Unknown],0x1f7290
func@0x8eb0,0.047986,0.047986,0.0,0.047986,0.0,0.0,0.0,0.0,0.0,libm.so.6,func@0x8eb0,[Unknown],0x8eb0
_int_free,0.039986,0.039986,0.0,0.039986,0.0,0.0,0.0,0.0,0.0,libc.so.6,_int_free,[Unknown],0x84770
ddot_,0.039928,0.039928,0.0,0.039928,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,ddot_,[Unknown],0x114140
dtrmm_oltncopy_HASWELL,0.039923,0.039923,0.0,0.039923,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,dtrmm_oltncopy_HASWELL,[Unknown],0xed6b70
_int_malloc,0.036013,0.036013,0.0,0.036013,0.0,0.0,0.0,0.0,0.0,libc.so.6,_int_malloc,[Unknown],0x85db0
func@0x403230,0.035994,0.035994,0.0,0.035994,0.0,0.0,0.0,0.0,0.0,hw5,func@0x403230,[Unknown],0x403230
std::istream::_M_extract<double>,0.032015,0.032015,0.0,0.032015,0.0,0.0,0.0,0.0,0.0,libstdc++.so.6,std::istream& std::istream::_M_extract<double>(double&),[Unknown],0x11ce90
cfree,0.032001,0.032001,0.0,0.032001,0.0,0.0,0.0,0.0,0.0,libc.so.6,cfree,[Unknown],0x882f0
BasisFunction::BasisFunction,0.031975,0.031975,0.0,0.031975,0.0,0.0,0.0,0.0,0.0,hw5,BasisFunction::BasisFunction(BasisFunction const&),[Unknown],0x41c610
clone,0.030000,0.030000,0.0,0.030000,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,[Unknown],0xfbcc0
memset,0.030000,0.030000,0.010000,0.020000,0.0,0.0,0.0,0.0,0.0,ld-linux-x86-64.so.2,memset,[Unknown],0x1db70
func@0x158780,0.027954,0.027954,0.0,0.027954,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,func@0x158780,[Unknown],0x158780
func@0xeb2070,0.027884,0.027884,0.0,0.027884,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,func@0xeb2070,[Unknown],0xeb2070
operator delete,0.024001,0.024001,0.0,0.024001,0.0,0.0,0.0,0.0,0.0,libstdc++.so.6,"operator delete(void*, unsigned long)",[Unknown],0xaf220
func@0xeb2c30,0.023933,0.023933,0.0,0.023933,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,func@0xeb2c30,[Unknown],0xeb2c30
_IO_vfprintf,0.022001,0.022001,0.0,0.022001,0.0,0.0,0.0,0.0,0.0,libc.so.6,_IO_vfprintf,[Unknown],0x51a50
arma::arma_ostream::modify_stream<double>,0.020052,0.020052,0.0,0.020052,0.0,0.0,0.0,0.0,0.0,hw5,"long arma::arma_ostream::modify_stream<double>(std::ostream&, double const*, unsigned long long)",[Unknown],0x40f600
func@0xf71d0,0.020004,0.020004,0.0,0.020004,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,func@0xf71d0,[Unknown],0xf71d0
func@0x157d40,0.019838,0.019838,0.0,0.019838,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,func@0x157d40,[Unknown],0x157d40
func@0x402fb0,0.015995,0.015995,0.0,0.015995,0.0,0.0,0.0,0.0,0.0,hw5,func@0x402fb0,[Unknown],0x402fb0
_ZSt7getlineIcSt11char_traitsIcESaIcEERSt13basic_istreamIT_T0_ES7_RNSt7__cxx1112basic_stringIS4_S5_T1_EES4_,0.012987,0.012987,0.0,0.012987,0.0,0.0,0.0,0.0,0.0,libstdc++.so.6,_ZSt7getlineIcSt11char_traitsIcESaIcEERSt13basic_istreamIT_T0_ES7_RNSt7__cxx1112basic_stringIS4_S5_T1_EES4_,[Unknown],0xc91a0
dgemv_t_HASWELL,0.012071,0.012071,0.0,0.012071,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,dgemv_t_HASWELL,[Unknown],0xeb2df0
func@0x158230,0.012067,0.012067,0.0,0.012067,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,func@0x158230,[Unknown],0x158230
BasisFunction::~BasisFunction,0.012003,0.012003,0.0,0.012003,0.0,0.0,0.0,0.0,0.0,hw5,BasisFunction::~BasisFunction(void),[Unknown],0x40f100
"std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>::_M_construct<char*>.isra.0",0.012002,0.012002,0.0,0.012002,0.0,0.0,0.0,0.0,0.0,hw5,"void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>::_M_construct<char*>(char*, char*, std::forward_iterator_tag).isra.0",[Unknown],0x411730
func@0xeb2d70,0.011898,0.011898,0.0,0.011898,0.0,0.0,0.0,0.0,0.0,liblapack.so.3,func@0xeb2d70,[Unknown],0xeb2d70
